source,relation,target
D_443aff08,HAS_CAUSE,C_666be385
D_443aff08,HAS_CAUSE,C_6be13112
D_443aff08,HAS_CAUSE,C_2dcdb8fb
D_443aff08,DIAGNOSED_BY,T_63c0c407
D_0a42d68f,HAS_CAUSE,C_7ffe03cc
D_0a42d68f,HAS_CAUSE,C_54810207
D_0a42d68f,HAS_CAUSE,C_d16a1e3f
D_0a42d68f,HAS_CAUSE,C_5c15e343
D_0a42d68f,TREATED_BY,T_6509876d
D_0a42d68f,TREATED_BY,T_de74cc67
D_0a42d68f,TREATED_BY,T_65d53a8b
D_0a42d68f,DIAGNOSED_BY,T_59cd9873
D_0a42d68f,DIAGNOSED_BY,T_91df1322
D_0a42d68f,HAS_COMPLICATION,C_d4efd880
D_0a42d68f,PREVENTED_BY,P_7216f24c
D_6f7e17a3,HAS_CAUSE,C_2b2d79d5
D_2778dea8,HAS_SYMPTOM,S_2592390f
D_2778dea8,HAS_SYMPTOM,S_98f3445f
D_2778dea8,HAS_SYMPTOM,S_785c20bc
D_2778dea8,HAS_SYMPTOM,S_3db752b9
D_2778dea8,HAS_SYMPTOM,S_e07a3814
D_2778dea8,HAS_SYMPTOM,S_7c012869
D_2778dea8,HAS_SYMPTOM,S_8a521a1f
D_2778dea8,HAS_CAUSE,C_c15839f9
D_2778dea8,HAS_CAUSE,C_9ec74ea5
D_2778dea8,HAS_CAUSE,C_ea6df378
D_2778dea8,HAS_CAUSE,C_6e059e0f
D_2778dea8,HAS_CAUSE,C_ebb02ac1
D_2778dea8,HAS_CAUSE,C_1677b037
D_2778dea8,HAS_CAUSE,C_483a9498
D_2778dea8,HAS_CAUSE,C_1363de5f
D_2778dea8,HAS_CAUSE,C_f040e368
D_2778dea8,HAS_CAUSE,C_ceb5b1d0
D_2778dea8,HAS_CAUSE,C_a359a27f
D_2778dea8,HAS_CAUSE,C_46c93c2d
D_2778dea8,HAS_RISK,R_09f58535
D_2778dea8,HAS_RISK,R_5edd1bd6
D_2778dea8,HAS_RISK,R_97476626
D_2778dea8,HAS_RISK,R_9f9e14ed
D_2778dea8,HAS_RISK,R_52fb6e50
D_2778dea8,HAS_RISK,R_db0d4d71
D_2778dea8,HAS_RISK,R_0702ecdf
D_2778dea8,HAS_RISK,R_82346801
D_2778dea8,HAS_RISK,R_d51eb733
D_2778dea8,TREATED_BY,T_024c1f7a
D_2778dea8,TREATED_BY,T_2ca12883
D_2778dea8,TREATED_BY,T_cf27d7c7
