disease,disease_en,source,overview,symptoms,causes,risk_factors,prevention,when_to_see_doc,treatment,prognosis,complications,exams_and_tests,url
hội chứng Aarskog,Aarskog syndrome,medlineplus,,"Các triệu chứng của tình trạng này bao gồm: Rốn lồi ra Chỗ phồng ở háng hoặc bìu Chậm trưởng thành về mặt sinh dục Răng bị trễ Răng hướng xuống lòng bàn tay nghiêng về phía mắt (lệch lòng bàn tay là hướng nghiêng từ góc trong ra góc ngoài của mắt) Đường chân tóc có hình ""đỉnh góa phụ"" Ngực hóp nhẹ (ngực lõm) Các vấn đề về nhận thức ở mức độ nhẹ đến trung bình Chiều cao ngắn nhẹ đến trung bình, có thể không rõ ràng cho đến khi trẻ 1 tuổi đến 3 tuổi Phần giữa khuôn mặt kém phát triển Mặt tròn Bìu bao quanh dương vật (khăn choàng bìu) Các ngón tay và ngón chân ngắn có màng mỏng Nếp nhăn đơn trong lòng bàn tay Bàn tay và bàn chân nhỏ, rộng với các ngón tay ngắn và ngón thứ năm cong vào trong Mũi nhỏ với lỗ mũi hướng về phía trước Tinh hoàn không đi xuống (không đi xuống) Phần trên của tai gấp lại một chút Rãnh rộng phía trên môi trên, nếp nhăn bên dưới môi dưới Đôi mắt to với mí mắt rũ xuống","Hội chứng Aarskog là một rối loạn di truyền liên quan đến nhiễm sắc thể X. Nó ảnh hưởng chủ yếu đến nam giới, nhưng nữ giới có thể ở dạng nhẹ hơn. Tình trạng này xảy ra do những thay đổi (đột biến) ở một gen có tên là ""loạn sản cơ sinh dục"" (FGD1).",,Xét nghiệm di truyền có thể được thực hiện cho những người có tiền sử gia đình mắc bệnh này hoặc có đột biến gen gây ra bệnh này.,Liên hệ với nhà cung cấp dịch vụ chăm sóc sức khỏe của bạn nếu con bạn chậm phát triển hoặc nếu bạn nhận thấy bất kỳ triệu chứng nào của hội chứng Aarskog. Tìm kiếm tư vấn di truyền nếu bạn có tiền sử gia đình mắc hội chứng Aarskog. Liên hệ với chuyên gia di truyền nếu nhà cung cấp dịch vụ cho rằng bạn hoặc con bạn có thể mắc hội chứng Aarskog.,Di chuyển răng có thể được thực hiện để điều trị một số đặc điểm răng bất thường mà người mắc hội chứng Aarskog có thể mắc phải.,"Một số người có thể bị chậm phát triển trí tuệ, nhưng trẻ mắc bệnh này thường có kỹ năng xã hội tốt. Một số nam giới có thể gặp vấn đề về khả năng sinh sản.",Những biến chứng này có thể xảy ra: Những thay đổi trong não Khó phát triển trong năm đầu đời Răng thẳng hàng kém Co giật Tinh hoàn ẩn,Những xét nghiệm này có thể được thực hiện: Xét nghiệm di truyền để tìm đột biến ở tia X gen FGD1,https://medlineplus.gov/ency/article/001654.htm
hội chứng Aase,Aase syndrome,medlineplus,,Các triệu chứng có thể bao gồm: Không có hoặc đốt ngón tay nhỏ Hở vòm miệng Tai bị biến dạng Mí mắt rũ xuống Không thể duỗi hết các khớp từ khi sinh ra Vai hẹp Da nhợt nhạt Ngón tay cái có ba khớp,"Nhiều trường hợp mắc hội chứng Aase xảy ra mà không rõ nguyên nhân và không được di truyền qua các gia đình (di truyền). Tuy nhiên, một số trường hợp đã được chứng minh là có tính chất di truyền. Điều này là do sự thay đổi của 1 trong 20 gen quan trọng để tạo ra protein một cách chính xác (các gen tạo ra protein ribosome). Tình trạng này tương tự như bệnh thiếu máu Diamond-Blackfan và hai tình trạng này nên được coi là giống nhau. Một mảnh bị thiếu trên nhiễm sắc thể 19 được tìm thấy ở một số người mắc bệnh thiếu máu Diamond-Blackfan. Bệnh thiếu máu trong hội chứng Aase là do sự phát triển kém của tủy xương, nơi hình thành các tế bào máu.",,Nên tư vấn di truyền nếu bạn có tiền sử gia đình mắc hội chứng này và muốn mang thai.,,"Việc điều trị có thể bao gồm truyền máu trong năm đầu đời để điều trị bệnh thiếu máu. Một loại thuốc steroid gọi là prednisone cũng đã được sử dụng để điều trị bệnh thiếu máu liên quan đến hội chứng Aase. Tuy nhiên, nó chỉ nên được sử dụng sau khi xem xét lợi ích và rủi ro với nhà cung cấp có kinh nghiệm điều trị bệnh thiếu máu. Ghép tủy xương có thể cần thiết nếu phương pháp điều trị khác thất bại.",Tình trạng thiếu máu có xu hướng cải thiện theo tuổi tác.,"Các biến chứng liên quan đến thiếu máu bao gồm: Mệt mỏi Giảm oxy trong máu Suy nhược Các vấn đề về tim có thể dẫn đến nhiều biến chứng, tùy thuộc vào khiếm khuyết cụ thể. Các trường hợp nặng của hội chứng Aase có liên quan đến thai chết lưu hoặc tử vong sớm.",Nhà cung cấp dịch vụ chăm sóc sức khỏe của bạn sẽ thực hiện kiểm tra thể chất. Các xét nghiệm có thể được thực hiện bao gồm: Sinh thiết tủy xương Chụp X-quang công thức máu toàn bộ (CBC),https://medlineplus.gov/ency/article/001662.htm
Bụng - sưng lên,Abdomen - swollen,medlineplus,,,Bụng chướng hoặc chướng bụng thường do ăn quá nhiều hơn là do bệnh nặng. Vấn đề này cũng có thể do: Nuốt không khí (thói quen lo lắng) Tích tụ chất lỏng trong bụng (đây có thể là dấu hiệu của một vấn đề y tế nghiêm trọng) Khí trong ruột do ăn thực phẩm giàu chất xơ (như trái cây và rau quả) Hội chứng ruột kích thích Không dung nạp lactose U nang buồng trứng hoặc ung thư Tắc nghẽn một phần ruột Mang thai Hội chứng tiền kinh nguyệt (PMS) U xơ tử cung Tăng cân,,,Liên hệ với nhà cung cấp dịch vụ của bạn nếu: Sưng bụng ngày càng trầm trọng và không biến mất. Tình trạng sưng tấy xảy ra kèm theo các triệu chứng khác không giải thích được. Bụng của bạn mềm khi chạm vào. Bạn bị sốt cao. Bạn bị tiêu chảy nặng hoặc phân có máu. Bạn không thể ăn hoặc uống trong hơn 6 đến 8 giờ.,,,,,https://medlineplus.gov/ency/article/003122.htm
Chứng phình động mạch chủ bụng,Abdominal aortic aneurysm,both,"xảy ra khi phần dưới của động mạch chính của cơ thể, gọi là động mạch chủ, bị yếu đi và phình ra phía ngoài như một quả bóng bay. Phình động mạch chủ bụng là tình trạng vùng phình to ở phần dưới của động mạch chính của cơ thể, được gọi là động mạch chủ. Động mạch chủ đi từ tim qua trung tâm vùng ngực và bụng, gọi là bụng. Chứng phình động mạch chủ bụng bị vỡ có thể gây chảy máu đe dọa tính mạng. Việc điều trị phụ thuộc vào mức độ phình động mạch và tốc độ phát triển của nó. Điều trị có thể bao gồm kiểm tra sức khỏe thường xuyên và xét nghiệm hình ảnh cho đến phẫu thuật cấp cứu.","Chứng phình động mạch có thể phát triển chậm trong nhiều năm và thường không có triệu chứng. Các triệu chứng có thể xuất hiện nhanh chóng nếu chứng phình động mạch lan rộng nhanh chóng, rách toạc hoặc rò rỉ máu vào thành mạch (bóc tách động mạch chủ). Các triệu chứng vỡ bao gồm: Đau bụng hoặc lưng. Cơn đau có thể dữ dội, đột ngột, dai dẳng hoặc liên tục. Nó có thể lan đến háng, mông hoặc chân. Bất tỉnh. Da sần sùi. Chóng mặt. Buồn nôn và nôn. Nhịp tim nhanh. Sốc .","Chứng phình động mạch có thể phát triển ở bất kỳ phần nào của động mạch chủ. Hầu hết chứng phình động mạch chủ xảy ra ở phần động mạch chủ ở vùng bụng, gọi là bụng. Những nguyên nhân có thể gây phình động mạch chủ bụng bao gồm: Xơ cứng động mạch, gọi là xơ vữa động mạch. Xơ vữa động mạch xảy ra khi chất béo và các chất khác tích tụ trong và trên thành động mạch. Huyết áp cao. Huyết áp cao có thể làm hỏng và làm suy yếu thành động mạch chủ. Bệnh mạch máu. Những bệnh này khiến mạch máu bị sưng và bị kích thích. Nhiễm trùng ở động mạch chủ. Hiếm khi vi trùng có thể lây nhiễm vào động mạch chủ và gây phình động mạch chủ bụng. Tổn thương. Ví dụ, bị thương trong một vụ tai nạn ô tô có thể gây ra chứng phình động mạch chủ bụng.","Các yếu tố nguy cơ phình động mạch chủ bụng bao gồm: Sử dụng thuốc lá. Hút thuốc là yếu tố nguy cơ mạnh nhất đối với chứng phình động mạch chủ. Hút thuốc làm suy yếu thành mạch máu, bao gồm cả động mạch chủ. Điều này làm tăng nguy cơ phình động mạch chủ và vỡ phình động mạch. Bạn sử dụng thuốc lá càng lâu và nhiều thì nguy cơ phát triển chứng phình động mạch chủ càng cao. Đàn ông từ 65 đến 75 tuổi đã từng hút thuốc nên siêu âm một lần để sàng lọc chứng phình động mạch chủ bụng. Tuổi. Phình động mạch chủ bụng xảy ra thường xuyên nhất ở những người từ 65 tuổi trở lên. Tình dục. Đàn ông bị phình động mạch chủ bụng thường xuyên hơn nhiều so với phụ nữ. Là người da trắng. Những người da trắng có nguy cơ mắc chứng phình động mạch chủ bụng cao hơn. Lịch sử gia đình. Có tiền sử gia đình mắc chứng phình động mạch chủ bụng làm tăng nguy cơ mắc bệnh này. Chứng phình động mạch khác. Bị phình động mạch chủ ở ngực (phình động mạch chủ ngực) hoặc ở một mạch máu lớn khác, chẳng hạn như động mạch phía sau đầu gối, có thể làm tăng nguy cơ phình động mạch chủ bụng. Nếu bạn có nguy cơ bị phình động mạch chủ, có thể dùng thuốc để hạ huyết áp và giảm căng thẳng cho các động mạch bị suy yếu.","Để ngăn ngừa chứng phình động mạch chủ bụng hoặc để bệnh không trở nên trầm trọng hơn, hãy thực hiện các bước sau: Không hút thuốc hoặc sử dụng các sản phẩm thuốc lá. Nếu bạn hút thuốc hoặc nhai thuốc lá, hãy bỏ thuốc lá. Cũng tránh khói thuốc phụ. Nếu bạn cần trợ giúp để bỏ thuốc, hãy nói chuyện với nhóm chăm sóc sức khỏe của bạn về các chiến lược có thể hữu ích. Ăn một chế độ ăn uống lành mạnh. Chọn nhiều loại trái cây và rau quả, ngũ cốc nguyên hạt, thịt gà, cá và các sản phẩm từ sữa ít béo. Tránh chất béo bão hòa và chất béo chuyển hóa và hạn chế muối. Giữ huyết áp và cholesterol trong tầm kiểm soát. Dùng thuốc theo chỉ dẫn. Tập thể dục thường xuyên và duy trì hoạt động. Cố gắng dành ít nhất 150 phút mỗi tuần cho hoạt động aerobic vừa phải. Nếu bạn chưa hoạt động, hãy bắt đầu từ từ và tăng dần. Nói chuyện với nhóm chăm sóc sức khỏe của bạn về những loại hoạt động phù hợp với bạn.","Nếu bạn bị đau, đặc biệt nếu cơn đau đột ngột và dữ dội, hãy nhờ trợ giúp y tế ngay lập tức. Yêu cầu một cuộc hẹn Có vấn đề với
 thông tin được gửi cho yêu cầu này. Xem xét/cập nhật
 thông tin được đánh dấu bên dưới và gửi lại biểu mẫu. Từ Mayo Clinic tới hộp thư đến của bạn Đăng ký miễn phí và cập nhật những tiến bộ trong nghiên cứu, lời khuyên về sức khỏe, chủ đề sức khỏe hiện tại và kiến ​​thức chuyên môn về quản lý sức khỏe. Bấm vào đây để xem trước email. Địa chỉ Email 1 Lỗi Trường email là bắt buộc Lỗi Bao gồm địa chỉ email hợp lệ Tìm hiểu thêm về việc sử dụng dữ liệu của Mayo Clinic. Chúng tôi sử dụng dữ liệu bạn cung cấp để cung cấp cho bạn nội dung bạn yêu cầu. Để cung cấp cho bạn thông tin hữu ích và phù hợp nhất, chúng tôi có thể kết hợp dữ liệu email và trang web của bạn với các thông tin khác mà chúng tôi có về bạn. Nếu bạn là bệnh nhân của Mayo Clinic, chúng tôi sẽ chỉ sử dụng thông tin sức khỏe được bảo vệ của bạn như được nêu trong Thông báo về Thực hành Quyền riêng tư của chúng tôi. Bạn có thể từ chối nhận thông tin liên lạc qua email bất kỳ lúc nào bằng cách nhấp vào liên kết hủy đăng ký trong email. Đặt mua! Cảm ơn bạn đã đăng ký! Bạn sẽ sớm bắt đầu nhận được thông tin sức khỏe mới nhất của Mayo Clinic mà bạn yêu cầu trong hộp thư đến của mình. Rất tiếc, đã xảy ra sự cố với đăng ký của bạn Vui lòng thử lại sau vài phút Thử lại","Nếu bạn bị chảy máu bên trong cơ thể do phình động mạch chủ, bạn sẽ cần phẫu thuật ngay lập tức. Nếu chứng phình động mạch nhỏ và không có triệu chứng: Phẫu thuật hiếm khi được thực hiện. Bạn và nhà cung cấp dịch vụ của bạn phải quyết định xem nguy cơ phẫu thuật có nhỏ hơn nguy cơ chảy máu nếu bạn không phẫu thuật hay không. Bác sĩ của bạn sẽ muốn kiểm tra kích thước của chứng phình động mạch bằng xét nghiệm siêu âm. Tần suất được đề nghị phụ thuộc vào kích thước chứng phình động mạch của bạn. Hãy hỏi nhà cung cấp của bạn những gì là tốt nhất cho bạn. Hầu hết, phẫu thuật được thực hiện nếu chứng phình động mạch có đường kính lớn hơn 2 inch (5 cm) hoặc phát triển nhanh chóng. Mục tiêu là thực hiện phẫu thuật trước khi các biến chứng phát triển. Có hai loại phẫu thuật: Phẫu thuật mở - Một vết cắt lớn được thực hiện ở bụng của bạn. Mạch bất thường được thay thế bằng mảnh ghép làm bằng vật liệu nhân tạo. Ghép stent nội mạch - Thủ tục này có thể được thực hiện mà không cần thực hiện một vết cắt lớn ở bụng, do đó bạn có thể hồi phục nhanh hơn. Đây có thể là cách tiếp cận an toàn hơn nếu bạn có một số vấn đề y tế khác hoặc là người lớn tuổi. Sửa chữa nội mạch đôi khi có thể được thực hiện đối với chứng phình động mạch bị rò rỉ hoặc chảy máu.","Kết quả thường tốt nếu bạn phẫu thuật để chữa chứng phình động mạch trước khi nó vỡ. Khi chứng phình động mạch chủ bụng bắt đầu rách hoặc vỡ, đó là trường hợp cấp cứu y tế. Chỉ có khoảng 1 trong 5 người sống sót sau khi chứng phình động mạch bụng bị vỡ.",,"Nhà cung cấp dịch vụ chăm sóc sức khỏe của bạn sẽ kiểm tra bụng của bạn và cảm nhận nhịp đập ở chân của bạn. Nhà cung cấp dịch vụ có thể phát hiện: Một khối u ở bụng Cảm giác dao động ở bụng Bụng cứng hoặc cứng Nhà cung cấp dịch vụ của bạn có thể phát hiện vấn đề này bằng cách thực hiện các xét nghiệm sau: Siêu âm bụng khi nghi ngờ phình động mạch bụng lần đầu. Chụp CT bụng để xác nhận kích thước của chứng phình động mạch CTA (chụp cắt lớp vi tính) để hỗ trợ lập kế hoạch phẫu thuật Bất kỳ một trong những xét nghiệm này có thể được thực hiện khi bạn đang có các triệu chứng. Bạn có thể bị phình động mạch chủ bụng mà không gây ra bất kỳ triệu chứng nào. Nhà cung cấp dịch vụ của bạn có thể yêu cầu siêu âm bụng để sàng lọc chứng phình động mạch. Hầu hết đàn ông từ 65 đến 75 tuổi đã từng hút thuốc nên thực hiện xét nghiệm này một lần. Một số nam giới từ 65 đến 75 tuổi, chưa bao giờ hút thuốc trong đời có thể cần xét nghiệm này một lần.",https://www.mayoclinic.org/diseases-conditions/abdominal-aortic-aneurysm/symptoms-causes/syc-20350688 | https://medlineplus.gov/ency/article/000162.htm
Phẫu thuật điều trị phình động mạch chủ bụng - mở,Abdominal aortic aneurysm repair - open,medlineplus,"Ca phẫu thuật sẽ diễn ra trong phòng mổ. Bạn sẽ được gây mê toàn thân (bạn sẽ ngủ và không đau). Bác sĩ phẫu thuật sẽ mở bụng của bạn và thay thế chứng phình động mạch chủ bằng một vật liệu giống như vải nhân tạo. Đây là cách có thể thực hiện: Trong một cách tiếp cận, bạn sẽ nằm ngửa. Bác sĩ phẫu thuật sẽ rạch một đường ở giữa bụng của bạn, từ ngay dưới xương ức đến dưới rốn. Hiếm khi vết cắt đi ngang qua bụng. Trong một cách tiếp cận khác, bạn sẽ nằm hơi nghiêng về bên phải. Bác sĩ phẫu thuật sẽ thực hiện một vết cắt từ 5 đến 6 inch (13 đến 15 cm) từ bên trái bụng của bạn, kết thúc ở phía dưới rốn một chút. Bác sĩ phẫu thuật của bạn sẽ thay thế chứng phình động mạch bằng một ống dài làm bằng vải nhân tạo (tổng hợp). Nó được khâu lại bằng các mũi khâu. Trong một số trường hợp, các đầu của ống (hoặc mảnh ghép) này sẽ được di chuyển qua các mạch máu ở mỗi háng và gắn vào các mạch ở chân. Sau khi phẫu thuật xong, chân của bạn sẽ được kiểm tra để đảm bảo rằng có mạch đập. Thông thường, xét nghiệm nhuộm bằng tia X được thực hiện để xác nhận rằng lưu lượng máu đến chân tốt. Vết cắt được đóng lại bằng chỉ khâu hoặc ghim. Phẫu thuật thay thế chứng phình động mạch chủ có thể mất từ ​​2 đến 4 giờ. Hầu hết mọi người hồi phục trong phòng chăm sóc đặc biệt (ICU) sau phẫu thuật.",,,,,,,Quá trình hồi phục hoàn toàn đối với phẫu thuật mở để sửa chữa chứng phình động mạch chủ có thể mất 2 hoặc 3 tháng. Hầu hết mọi người đều hồi phục hoàn toàn sau cuộc phẫu thuật này. Hầu hết những người được điều trị chứng phình động mạch trước khi nó vỡ ra (vỡ) đều có tiên lượng tốt.,,,https://medlineplus.gov/ency/article/007392.htm
Đầy bụng,Abdominal bloating,medlineplus,,,Các nguyên nhân phổ biến bao gồm: Nuốt không khí Táo bón Bệnh trào ngược dạ dày thực quản (GERD) Hội chứng ruột kích thích Không dung nạp lactose và các vấn đề tiêu hóa các thực phẩm khác Ăn quá nhiều Vi khuẩn ruột non phát triển quá mức Tăng cân Bạn có thể bị đầy hơi nếu dùng thuốc trị tiểu đường dạng uống acarbose. Một số loại thuốc hoặc thực phẩm khác có chứa lactulose hoặc sorbitol có thể gây đầy hơi. Nhiều loại thực phẩm chứa nhiều đường fructose và các hợp chất liên quan gây đầy hơi. Các rối loạn nghiêm trọng hơn có thể gây đầy hơi là: Cổ trướng và khối u ở bụng Bệnh celiac Hội chứng Dumping Ung thư buồng trứng Các vấn đề về tuyến tụy không sản xuất đủ enzyme tiêu hóa (suy tụy),,,"Liên hệ với nhà cung cấp dịch vụ chăm sóc sức khỏe của bạn nếu bạn bị: Đau bụng Có máu trong phân hoặc phân có màu sẫm, như hắc ín Tiêu chảy Chứng ợ nóng ngày càng trầm trọng Nôn mửa Sụt cân",,,,,https://medlineplus.gov/ency/article/003123.htm
thăm dò bụng,Abdominal exploration,medlineplus,"Phẫu thuật nội soi thăm dò được thực hiện trong khi bạn đang được gây mê toàn thân. Điều này có nghĩa là bạn đang ngủ và không cảm thấy đau. Bác sĩ phẫu thuật của bạn sẽ thực hiện một vết cắt vào bụng và kiểm tra các cơ quan trong bụng. Kích thước và vị trí của vết cắt phẫu thuật phụ thuộc vào mối quan tâm sức khỏe cụ thể. Sinh thiết có thể được thực hiện trong quá trình này. Nội soi ổ bụng mô tả một thủ thuật được thực hiện với một camera nhỏ đặt bên trong bụng. Nếu có thể, nội soi sẽ được thực hiện thay vì phẫu thuật nội soi.",,,,,,,Bạn sẽ có thể bắt đầu ăn uống bình thường khoảng 2 đến 3 ngày sau khi phẫu thuật. Bạn ở lại bệnh viện bao lâu tùy thuộc vào mức độ nghiêm trọng của vấn đề. Phục hồi hoàn toàn thường mất khoảng 4 đến 6 tuần.,,,https://medlineplus.gov/ency/article/002928.htm
Khối bụng,Abdominal mass,medlineplus,,,"Một số tình trạng có thể gây ra khối ở bụng: Phình động mạch chủ bụng có thể gây ra khối xung quanh rốn. Bàng quang căng (bàng quang chứa quá nhiều chất lỏng) có thể gây ra một khối cứng ở giữa vùng bụng dưới, phía trên xương chậu. Trong trường hợp cực đoan, nó có thể chạm tới tận rốn. Viêm túi mật có thể gây ra một khối rất mềm ở dưới gan ở góc phần tư phía trên bên phải (đôi khi). Ung thư ruột kết có thể gây ra khối u ở hầu hết mọi nơi trong bụng. Bệnh Crohn hoặc tắc ruột có thể gây ra nhiều khối mềm, hình xúc xích ở bất kỳ vị trí nào trong bụng. Viêm túi thừa có thể gây ra một khối thường nằm ở góc phần tư phía dưới bên trái. Khối u túi mật có thể gây ra một khối mềm, có hình dạng bất thường ở góc phần tư phía trên bên phải. Thận ứ nước (thận chứa đầy chất lỏng) có thể gây ra một khối mịn, có cảm giác xốp ở một hoặc cả hai bên hoặc hướng về phía sau (vùng sườn). Ung thư thận đôi khi có thể gây ra một khối mịn, chắc nhưng không mềm ở bụng. Ung thư gan có thể gây ra một khối u cứng ở góc phần tư phía trên bên phải. Gan to (gan to) có thể gây ra một khối cứng, không đều ở bên dưới khung xương sườn bên phải hoặc ở bên trái ở vùng dạ dày. U nguyên bào thần kinh, một khối u ung thư thường thấy ở vùng bụng dưới có thể gây ra khối u (bệnh ung thư này chủ yếu xảy ra ở trẻ em và trẻ sơ sinh). U nang buồng trứng có thể gây ra một khối mịn, tròn, cao su phía trên xương chậu ở vùng bụng dưới. Áp xe tụy có thể gây ra khối u ở vùng bụng trên vùng thượng vị. Nang giả tụy có thể gây ra khối u ở vùng bụng trên ở vùng thượng vị. Mang thai gây ra một khối u phía trên xương chậu ở vùng bụng dưới có thể bị nhầm là bệnh. Lách to (lách to) đôi khi có thể được cảm nhận ở góc phần tư phía trên bên trái. Ung thư dạ dày có thể gây ra khối u ở bụng trên bên trái ở vùng dạ dày (thượng vị) nếu khối u lớn. U xơ tử cung (u xơ tử cung) có thể gây ra một khối tròn, sần phía trên xương chậu ở vùng bụng dưới (đôi khi có thể sờ thấy được nếu u xơ lớn). Xoắn ruột có thể gây ra khối u ở bất kỳ vị trí nào trong bụng. Tắc nghẽn niệu quản vùng chậu có thể gây ra khối ở vùng bụng dưới.",,,"Nhận trợ giúp y tế ngay lập tức nếu bạn có một khối u ở bụng cùng với đau bụng dữ dội. Đây có thể là dấu hiệu của chứng phình động mạch chủ bị vỡ, đây là tình trạng khẩn cấp. Liên hệ với nhà cung cấp dịch vụ của bạn nếu bạn nhận thấy bất kỳ loại khối nào ở bụng.",,,,,https://medlineplus.gov/ency/article/003274.htm
Đau bụng,Abdominal pain,medlineplus,,,"Nhiều tình trạng khác nhau có thể gây đau bụng. Điều quan trọng là phải biết khi nào bạn cần được chăm sóc y tế ngay lập tức. Đôi khi, bạn có thể chỉ cần liên hệ với nhà cung cấp dịch vụ chăm sóc sức khỏe nếu các triệu chứng của bạn vẫn tiếp tục. Các nguyên nhân gây đau bụng ít nghiêm trọng hơn bao gồm: Táo bón Hội chứng ruột kích thích Dị ứng hoặc không dung nạp thực phẩm (chẳng hạn như không dung nạp lactose) Ngộ độc thực phẩm Cúm dạ dày Các nguyên nhân có thể khác bao gồm: Viêm ruột thừa Phình động mạch chủ bụng (phình lên và suy yếu động mạch chính trong cơ thể) Tắc nghẽn hoặc tắc nghẽn ruột Ung thư dạ dày, đại tràng (ruột già) và các cơ quan khác Viêm túi mật (viêm túi mật) có hoặc không có sỏi mật Giảm cung cấp máu đến ruột ( ruột thiếu máu cục bộ ) Viêm túi thừa (viêm và nhiễm trùng đại tràng) Lạc nội mạc tử cung Ợ nóng, khó tiêu hoặc trào ngược dạ dày thực quản (GERD) Thoát vị trong đó ruột bị kẹt hoặc xoắn Bệnh viêm ruột (bệnh Crohn hoặc viêm loét đại tràng) Sỏi thận Căng cơ Viêm tụy (sưng hoặc nhiễm trùng tuyến tụy) Bệnh viêm vùng chậu (PID) Vỡ u nang buồng trứng Đau bụng kinh nghiêm trọng Mang thai ống dẫn trứng (lạc chỗ) Loét tiết niệu nhiễm trùng đường tiểu (UTI)",,,"Nhận trợ giúp y tế ngay lập tức hoặc gọi 911 hoặc số cấp cứu tại địa phương nếu bạn: Hiện đang được điều trị ung thư Không thể đại tiện, đặc biệt nếu bạn cũng đang nôn mửa Nôn ra máu hoặc có máu trong phân (đặc biệt là phân có màu đỏ tươi, màu hạt dẻ hoặc sẫm màu, đen như hắc ín) Đau ngực, cổ hoặc vai Đau bụng đột ngột, dữ dội Bị đau ở hoặc giữa bả vai kèm buồn nôn Đau bụng hoặc bụng cứng và khó chạm vào Đang mang thai hoặc có thể đang mang thai Bị chấn thương gần đây ở vùng bụng khó thở Liên hệ với nhà cung cấp dịch vụ của bạn nếu bạn có: Khó chịu ở bụng kéo dài 1 tuần hoặc lâu hơn Đau bụng không cải thiện trong 24 đến 48 giờ hoặc trở nên trầm trọng và thường xuyên hơn và xảy ra kèm theo buồn nôn và nôn Đầy hơi kéo dài hơn 2 ngày Cảm giác nóng rát khi đi tiểu hoặc đi tiểu thường xuyên Tiêu chảy trong hơn 5 ngày Sốt, trên 100°F (37,7°C) đối với người lớn hoặc 100,4°F (38°C) đối với trẻ em, bị đau kém ăn kéo dài Chảy máu âm đạo kéo dài Sụt cân không rõ nguyên nhân Không thể ăn hoặc uống bất kỳ loại thức ăn hoặc chất lỏng nào",,,,,https://medlineplus.gov/ency/article/003120.htm
Đau bụng - trẻ em dưới 12 tuổi,Abdominal pain - children under age 12,medlineplus,,,"Con bạn có thể bị đau bụng vì nhiều lý do. Có thể khó để biết điều gì đang xảy ra khi con bạn bị đau bụng. Hầu hết thời gian, không có gì sai nghiêm trọng. Nhưng đôi khi, đó có thể là dấu hiệu cho thấy có điều gì đó nghiêm trọng và con bạn cần được chăm sóc y tế. Con bạn rất có thể đang bị đau bụng do một nguyên nhân nào đó không đe dọa đến tính mạng. Ví dụ, con bạn có thể bị: Nuốt không khí Đau nửa đầu bụng Đau bụng Táo bón Khí Dị ứng hoặc không dung nạp thực phẩm Ngộ độc thực phẩm Ợ nóng hoặc trào ngược axit Ăn cỏ hoặc thực vật Bệnh bạch cầu đơn nhân (""mono"") Cúm dạ dày Viêm họng liên cầu Đau do lo lắng hoặc trầm cảm Con bạn có thể bị bệnh nghiêm trọng hơn nếu cơn đau không thuyên giảm trong 24 giờ, trở nên trầm trọng hơn hoặc thường xuyên hơn. Đau bụng có thể là dấu hiệu của: Ngộ độc do tai nạn Viêm ruột thừa Sỏi mật Thoát vị hoặc xoắn ruột, tắc nghẽn hoặc tắc nghẽn khác Bệnh viêm ruột (Bệnh Crohn hoặc viêm loét đại tràng) Lồng ruột do một phần ruột bị kéo vào trong Mang thai Khủng hoảng bệnh hồng cầu hình liềm Loét dạ dày Nuốt dị vật, đặc biệt là đồng xu hoặc các vật rắn khác Xoắn (xoắn) buồng trứng Xoắn (xoắn) tinh hoàn Khối u hoặc ung thư Rối loạn chuyển hóa di truyền bất thường (như tích tụ bất thường các sản phẩm phân hủy protein và đường)",,,"Liên hệ với nhà cung cấp dịch vụ của bạn nếu cơn đau bụng không biến mất sau 24 giờ. Hãy tìm sự trợ giúp y tế ngay lập tức hoặc gọi đến số cấp cứu tại địa phương của bạn (chẳng hạn như 911) nếu con bạn: Là em bé dưới 3 tháng tuổi và bị tiêu chảy hoặc nôn mửa Hiện đang được điều trị ung thư Không thể đại tiện, đặc biệt là nếu con bạn cũng nôn mửa Nôn ra máu hoặc có máu trong phân (đặc biệt nếu máu có màu hạt dẻ hoặc màu đen sẫm) Bị đau bụng đột ngột, dữ dội Bụng cứng, cứng Gần đây có một chấn thương ở vùng bụng Khó thở Liên hệ với nhà cung cấp dịch vụ chăm sóc sức khỏe của bạn nếu con bạn bị: Đau bụng kéo dài 1 tuần hoặc lâu hơn, kể cả khi nó đến rồi đi. Đau bụng không cải thiện trong 24 giờ. Hãy liên hệ với nhà cung cấp dịch vụ chăm sóc sức khỏe của bạn nếu tình trạng này ngày càng nghiêm trọng và thường xuyên hơn hoặc nếu con bạn buồn nôn và nôn mửa cùng với bệnh đó. Cảm giác nóng rát khi đi tiểu. Tiêu chảy kéo dài hơn 2 ngày. Nôn mửa kéo dài hơn 12 giờ. Sốt trên 100,4°F (38°C). Chán ăn kéo dài hơn 2 ngày. Giảm cân không giải thích được.",,,,,https://medlineplus.gov/ency/article/007504.htm
